# BROWSER FORENSIC EXPORT
# Source DB,C:\Users\cryfo\OneDrive\Documents\Desktop\Browser\History
# DB Description,Browsing History & Downloads
# Table,segment_usage
# Table Description,segment_usage
# Total Rows in DB,252
# Export Timestamp,2026-04-02 09:56:00 UTC
# MD5 Hash of Source DB,51e141f58bb3628ad263c1aeb53c797a

id,segment_id,time_slot,visit_count,time_slot__HUMAN,time_slot__FORMAT,visit_count__HUMAN,visit_count__FORMAT
241,123,13403557800000000,15,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
242,124,13403557800000000,2,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
243,125,13403557800000000,1,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
244,126,13403557800000000,1,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
245,27,13403557800000000,3,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
246,127,13403557800000000,1,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
247,45,13403557800000000,1,2025-09-28 18:30:00 UTC,WebKit (Chrome),,unknown
248,9,13403644200000000,4,2025-09-29 18:30:00 UTC,WebKit (Chrome),,unknown
249,82,13403644200000000,1,2025-09-29 18:30:00 UTC,WebKit (Chrome),,unknown
250,27,13403644200000000,1,2025-09-29 18:30:00 UTC,WebKit (Chrome),,unknown
251,43,13403644200000000,1,2025-09-29 18:30:00 UTC,WebKit (Chrome),,unknown
252,9,13403730600000000,1,2025-09-30 18:30:00 UTC,WebKit (Chrome),,unknown
